route_id,longitude,latitude,altitude,timestamp
6388,529923.9811406308,3953272.406070911,1268.2415,1622977041316
6388,529935.3664670816,3953272.4444658053,1269.9537,1622977043316
6388,529966.7609389826,3953272.9735067114,1271.1798,1622977047815
6388,529981.5963638882,3953273.0236108224,1271.0133,1622977049819
6388,530015.1052483591,3953260.444075117,1268.737,1622977053318
6388,530041.0225574564,3953248.262059011,1269.812,1622977055819
6388,530083.5262964416,3953228.520645416,1270.0911,1622977060330
6388,530114.2811415368,3953214.2397742006,1268.7589,1622977062813
6388,530148.1397640716,3953200.3926446624,1266.6187,1622977065314
6388,530189.5959814431,3953184.4560171105,1263.1917,1622977068814
6388,530208.9412116552,3953177.3292551287,1260.8872,1622977070814
6388,530229.3229561299,3953169.7829720564,1259.8904,1622977072821
6388,530273.9379926432,3953138.203043671,1259.0317,1622977076809
6388,530296.0853978572,3953118.8163234466,1259.1348,1622977079312
6388,530307.1663602546,3953107.0075422595,1259.9739,1622977081314
6388,530320.3347972308,3953090.128786254,1259.5608,1622977083312
6388,530336.8282478236,3953008.9512385093,1258.8048,1622977090810
6388,530342.0946690635,3952982.314366477,1257.5431,1622977093315
6388,530351.7241854791,3952890.5360654914,1258.9487,1622977099814
6388,530354.2449781866,3952859.658884745,1258.7997,1622977102312
6388,530355.337931303,3952842.738896494,1257.3549,1622977104318
6388,530356.7686808516,3952827.9355296586,1256.2684,1622977106320
6388,530356.4959992197,3952806.77994082,1254.474,1622977109311
6388,530340.3129395541,3952796.993470006,1252.7906,1622977112317
6388,530326.1624355819,3952798.2143935515,1251.257,1622977114813
6388,530304.4068672073,3952803.640303571,1250.9988,1622977116816
6388,530257.0990639842,3952814.9024335137,1250.2898,1622977121322
6388,530240.1782900312,3952819.07570269,1252.4408,1622977123811
6388,530227.0557154908,3952822.415751103,1251.9244,1622977126325
6388,530197.3574459485,3952829.9303438906,1250.8485,1622977130311
6388,530182.8547960328,3952833.2657624963,1250.8694,1622977132819
6388,530166.6241470117,3952837.441517992,1250.8639,1622977135312
6388,530151.0850040588,3952841.1965588583,1250.5773,1622977137317
6388,530135.9081380115,3952839.875740323,1250.2457,1622977139319
6388,530118.3347424853,3952833.046606521,1249.9714,1622977141809
6388,530098.998882914,3952837.211949677,1249.201,1622977143815
6388,530082.0796625362,3952840.9624314504,1248.9951,1622977145820
6388,530058.9428150766,3952846.8073528213,1249.5674,1622977148315
6388,530038.9140983578,3952851.816666093,1249.9521,1622977150319
6388,530011.2876787152,3952858.9157978897,1249.7487,1622977152813
6389,531739.1207779077,3952784.5380281066,1211.8068,1622977783303
6389,531732.8875623676,3952790.8621494267,1224.1425,1622977783797
6389,531702.0621123131,3952823.753319086,1225.0493,1622977785823
6389,531694.4443083087,3952831.341803633,1225.0493,1622977786332
6389,531687.860088534,3952839.357078193,1226.8771,1622977786831
6391,531653.1733027806,3952890.8507597763,1225.409,1622977789339
6391,531648.3112712343,3952899.718392753,1230.1243,1622977789844
6391,531638.9262287677,3952919.1472504335,1233.2507,1622977790861
6391,531630.9167969906,3952939.8503016746,1235.1112,1622977791870
6392,531620.7980786703,3952971.5462855916,1236.5464,1622977793362
6392,531613.0584110188,3953013.4050075104,1242.8046,1622977795367
6392,531611.6316173064,3953026.515835706,1245.7267,1622977795895
6392,531611.2037216718,3953049.784475037,1240.3757,1622977796909
6392,531611.5050418928,3953062.0552709904,1242.4752,1622977797378
6392,531611.4643567279,3953073.478661306,1242.4752,1622977797919
6392,531612.4165307096,3953096.7522175573,1241.8153,1622977798928
6392,531613.0613564757,3953109.447331867,1239.5132,1622977799392
6392,531615.9268754924,3953176.729476311,1237.5168,1622977802416
6392,531616.8880659741,3953197.4645051183,1247.7107,1622977803425
6392,531617.501224398,3953219.0444828714,1251.1764,1622977804434
6392,531618.4563761182,3953241.471867786,1246.7938,1622977805437
6392,531619.7520108277,3953265.169748731,1258.369,1622977806450
6392,531620.7026280318,3953288.866401527,1250.1307,1622977807460
6392,531622.6098746313,3953334.5673552467,1252.6587,1622977809479
6392,531622.9141789569,3953345.9919795874,1252.6587,1622977810008
6392,531623.5649969025,3953356.9947447716,1270.2114,1622977810478
6392,531623.8692988231,3953368.4193695425,1270.2114,1622977810985
6392,531624.1766149907,3953378.997817066,1258.5175,1622977811508
6393,531625.7795216806,3953413.2741521234,1277.1522,1622977813031
6393,531626.0883409992,3953423.429511693,1268.7522,1622977813535
6393,531625.9360592867,3953466.1614775937,1273.0829,1622977815553
6393,531625.4387749968,3953508.8922167527,1253.4656,1622977817612
6394,531625.2367359629,3953565.5861199377,1263.2202,1622977820059
6394,531625.1960263,3953577.009518923,1253.3328,1622977820560
6394,531625.03770997,3953621.433850166,1273.6409,1622977822606
6394,531624.9985075919,3953632.4341612156,1273.6409,1622977823260
6396,531624.409250805,3953700.9733354226,1265.5784,1622977826138
6396,531624.3760793488,3953710.281292022,1274.3126,1622977826637
